id,title,description,price,image,variants,stock,created_at,updated_at
a1b2c3d4-e5f6-7890-1234-567890abcdef,"Classic Cotton T-Shirt","A comfortable and durable t-shirt made from 100% premium cotton. Perfect for everyday wear.",1999,"https://picsum.photos/seed/tshirt/400/300","{""color"":[""Red"",""Blue"",""Black""],""size"":[""S"",""M"",""L"",""XL""]}",150,"2023-01-15T10:00:00Z","2023-10-20T14:30:00Z"
b2c3d4e5-f6a7-8901-2345-67890abcdef0,"Wireless Bluetooth Headphones","Experience immersive sound with these high-quality wireless Bluetooth headphones. Long battery life and noise-cancellation.",7950,"https://picsum.photos/seed/headphones/400/300","{""color"":[""Black"",""White"",""Silver""],""size"":[""One Size""]}",75,"2023-02-20T11:00:00Z","2023-11-01T09:15:00Z"
c3d4e5f6-a7b8-9012-3456-7890abcdef01,"Stainless Steel Water Bottle","Stay hydrated with this eco-friendly stainless steel water bottle. Keeps drinks cold for 24 hours or hot for 12 hours.",2500,"https://picsum.photos/seed/bottle/400/300","{""color"":[""Silver"",""Matte Black"",""Ocean Blue""],""size"":[""500ml"",""750ml""]}",200,"2023-03-10T08:30:00Z","2023-03-10T08:30:00Z"
d4e5f6a7-b8c9-0123-4567-890abcdef012,"Leather Laptop Sleeve","Protect your laptop in style with this genuine leather sleeve. Fits most 13-inch laptops.",4599,"https://picsum.photos/seed/laptopsleeve/400/300","{""color"":[""Brown"",""Black""],""size"":[""13-inch"",""15-inch""]}",90,"2023-04-05T16:20:00Z","2023-09-25T10:05:00Z"
e5f6a7b8-c9d0-1234-5678-90abcdef0123,"Organic Green Tea","A refreshing and healthy blend of organic green tea leaves. Rich in antioxidants.",1275,"https://picsum.photos/seed/greentea/400/300","{""color"":[""N/A""],""size"":[""50g"",""100g""]}",300,"2023-05-01T09:00:00Z","2023-05-01T09:00:00Z"
f6a7b8c9-d0e1-2345-6789-0abcdef01234,"Running Shoes","Lightweight and comfortable running shoes designed for optimal performance and support.",12000,"https://picsum.photos/seed/runningshoes/400/300","{""color"":[""Neon Green"",""Stealth Black"",""Sky Blue""],""size"":[""US 8"",""US 9"",""US 10"",""US 11""]}",60,"2023-06-18T13:45:00Z","2023-11-10T11:20:00Z"
a7b8c9d0-e1f2-3456-7890-abcdef012345,"Yoga Mat","Eco-friendly, non-slip yoga mat for your daily practice. Provides excellent cushioning and grip.",3550,"https://picsum.photos/seed/yogamat/400/300","{""color"":[""Purple"",""Teal"",""Pink""],""size"":[""Standard"",""Extra Long""]}",110,"2023-07-22T07:10:00Z","2023-07-22T07:10:00Z"
b8c9d0e1-f2a3-4567-8901-bcdef0123456,"Smart Home Hub","Control all your smart home devices from one central hub. Compatible with Alexa, Google Assistant, and Apple HomeKit.",9999,"https://picsum.photos/seed/smarthub/400/300","{""color"":[""White"",""Graphite""],""size"":[""One Size""]}",40,"2023-08-03T18:00:00Z","2023-10-15T12:00:00Z"
c9d0e1f2-a3b4-5678-9012-cdef01234567,"Gourmet Coffee Beans","Artisanal roasted coffee beans from Ethiopia. Medium roast with notes of chocolate and citrus.",1825,"https://picsum.photos/seed/coffeebeans/400/300","{""color"":[""N/A""],""size"":[""250g"",""500g"",""1kg""]}",250,"2023-09-11T10:30:00Z","2023-09-11T10:30:00Z"
d0e1f2a3-b4c5-6789-0123-def012345678,"Portable Power Bank","High-capacity portable power bank to keep your devices charged on the go. 20000mAh capacity.",3995,"https://picsum.photos/seed/powerbank/400/300","{""color"":[""Black"",""Red""],""size"":[""20000mAh""]}",130,"2023-10-28T12:15:00Z","2023-11-05T17:40:00Z"
e1f2a3b4-c5d6-7890-1234-ef0123456789,"Ergonomic Office Chair","Improve your posture and comfort with this ergonomic office chair, featuring lumbar support and adjustable armrests.",18999,"https://picsum.photos/seed/officechair/400/300","{""color"":[""Black"",""Grey"",""Blue""],""size"":[""Standard""]}",55,"2023-11-15T09:30:00Z","2023-11-20T10:00:00Z"
f2a3b4c5-d6e7-8901-2345-f0123456789a,"Smart Watch Series 7","Stay connected and track your fitness goals with the latest Smart Watch. Features GPS and heart rate monitor.",34900,"https://picsum.photos/seed/smartwatch/400/300","{""color"":[""Midnight Black"",""Starlight Silver"",""Forest Green""],""size"":[""41mm"",""45mm""]}",80,"2023-11-01T14:00:00Z","2023-11-18T16:25:00Z"
